job title,company name,job date,locations,skills,links
Data Quality Assurance Analyst Engineer,Z2 Data -,1 month ago,"Banha, Qalubia, Egypt ",Full TimeEntry Level · 0 - 1 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Analysis · Communication · Communication skills · Computer Science · Data Analysis · Engineering · Programming,https://wuzzuf.net/jobs/p/Wcu4dwoAsuM3-Solution-Architect-PHP-Expand-Cart-Giza-Egypt?o=33&l=sp&t=sj&a=python|search-v3|spbg
DevOps: Site Reliability Engineer/ Support Engineer,Cegedim -,2 months ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Jira · Saltstack · Jenkins · Linux · Oracle · MongoDB · Bash · Powershell,https://wuzzuf.net/jobs/p/B13L1xsmivpP-PHP-Technical-Lead-LINK-Development-Cairo-Egypt?o=186&l=sp&t=sj&a=python|search-v3|spbg
Applied Machine Learning Engineer / Computer Vision Scientist,412labs.com -,2 months ago,"Cairo, Egypt ",Full TimeFreelance / ProjectWork From HomeExperienced · 4+ Yrs of Exp · IT/Software Development · Computer Vision · Information Technology (IT) · Deep Learning · Python · Research · Machine Learning · OpenCV · TensorFlow · Keras,https://wuzzuf.net/jobs/p/b0NAsOYEKrXG-Junior-Software-Developer-Target-Recruitment-HR-Solutions-Cairo-Egypt?o=72&l=sp&t=sj&a=python|search-v3|spbg
Senior DevOps Engineer,Cegedim -,2 months ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · System Administration · Linux · Network Adminstartion · Engineering · Windows Systems · MongoDB · Oracle · PostgreSQL,https://wuzzuf.net/jobs/p/NfwodYCo5nZC-DevOps-Engineer-Cairo-Egypt?o=127&l=sp&t=sj&a=python|search-v3|spbg
Odoo Developer,Dimofinf Operations Center -,4 days ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Git · Development · HTML · JavaScript · Odoo · Odoo Development · Python · Computer Science,https://wuzzuf.net/jobs/p/t7SI3G5KLIvg-Management-Trainee--Supply-Chain-Landmark-Group-Cairo-Egypt?o=151&l=sp&t=sj&a=python|search-v3|spbg
Blockchain developer,MENA Alliances -,5 days ago,"Hebron, Palestine ",Full TimeWork From HomeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · blockchain · Information Technology (IT) · Computer Science · Back-End Development · Python · Algorithms · Java · Programming,https://wuzzuf.net/jobs/p/LctVzPWf7zoH-Sr-Data-Scientist---NLP-Video-analytics-Cairo-Egypt?o=131&l=sp&t=sj&a=python|search-v3|spbg
Solution Architect ( PHP ),Expand Cart -,5 days ago,"6th of October, Giza, Egypt ",Full TimeExperienced · 7+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Architecture · Computer Engineering · Computer Science · Design · Engineering · CSS · Information Technology (IT) · JavaScript,https://wuzzuf.net/jobs/p/Yg9FAt50zoYr-ERPNext-Developer-Takamul-Systems-Giza-Egypt?o=144&l=sp&t=sj&a=python|search-v3|spbg
Principal DevOps Engineer,A1Softech -,1 day ago,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Docker · DevOps · Linux · Java · Computer Science · Agile · Software Development · Python,https://wuzzuf.net/jobs/p/5OVdqcUkqCVb-Backend-Software-Engineer-Sharjah-United-Arab-Emirates?o=180&l=sp&t=sj&a=python|search-v3|spbg
Software Developer,Everlast -,7 days ago,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Software · Python · Programming · Development · Computer Science · Software Development · Information Technology (IT),https://wuzzuf.net/jobs/p/9LjrlY8kg3pI-Software-Developer-eelu-Cairo-Egypt?o=195&l=sp&t=sj&a=python|search-v3|spbg
Teachnical Leader,Unvc -,8 days ago,"Cairo, Egypt ",Full TimeManager · 3 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · JavaScript · Git · Agile · Team Leadership · Software Development · Computer Science · Computer Engineering,https://wuzzuf.net/jobs/p/B5j5000EfvUP-Senior-Backend-Developer-Easy-Cash-Cairo-Egypt?o=159&l=sp&t=sj&a=python|search-v3|spbg
Senior DevOps Engineer,ExaServe LLC -,4 hours ago,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · DevOps · PHP · Python · Cybersecurity · Cloud Services · Information Technology (IT) · Computer Science · Software Development,https://wuzzuf.net/jobs/p/qp2yMkl7zzpP-IP-Core-Operation-Engineer-Silicon21-Cairo-Egypt?o=163&l=sp&t=sj&a=python|search-v3|spbg
Computer Science Instructor (Game development),iSchool -,5 days ago,"New Cairo, Cairo, Egypt ",Full TimeWork From HomeEntry Level · 0 - 5 Yrs of Exp · IT/Software Development · Education/Teaching · Training/Instructor · Computer Science · Instructor · Training · Teaching · Science · Computer · Programming,https://wuzzuf.net/jobs/p/8pKDMo3K6fQ5-System-Administrator-IT-Tartoussieh-for-Engineering-Alexandria-Egypt?o=75&l=sp&t=sj&a=python|search-v3|spbg
Back-End Developer,Everlast -,7 days ago,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · Programming · Python · Computer Science · Web Development · Software Development · Software Engineering · Web,https://wuzzuf.net/jobs/p/jB7rvNLyMdBQ-Blockchain-Ethereum-Specialist-Cairo-Egypt?o=134&l=sp&t=sj&a=python|search-v3|spbg
Sr. System Engineer,Teqneyat  -,3 days ago,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · System Engineer · Computer Science · Network Administration · System Administration · Database Administration (DBA) · DevOps · Azure DevOps Server · Okta,https://wuzzuf.net/jobs/p/eTE9FEQFU6bg-Web-Developer-Solutions-Giza-Egypt?o=161&l=sp&t=sj&a=python|search-v3|spbg
Senior Data Scientist,Talenter -,5 days ago,"Giza, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · C# · Information Technology (IT) · Python · Java,https://wuzzuf.net/jobs/p/5c58J62BFwFA-Full-Stack-Developer-Alternative-Education-Cairo-Egypt?o=83&l=sp&t=sj&a=python|search-v3|spbg
DevOps Engineer,Fawry Banking & Payment Technology Services -,7 days ago,"6th of October, Giza, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Docker · Kubernetes · VSTS · Jenkins · Ansible · GIT · Groovy · Python,https://wuzzuf.net/jobs/p/yxhYlaVRKtHw-Full-Stack-Developer-Windsor-University-Cairo-Egypt?o=201&l=sp&t=sj&a=python|search-v3|spbg
DevOps Engineer / Site Reliability Engineer - Jumia Pay,Jumia -,2 days ago,"Cairo, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Engineering · Site Reliability · Linux · DevOps · AWS · Python · Docker,https://wuzzuf.net/jobs/p/zqkSUHAw72qG-Data-Scientist-Machine-Learning-Engineer-Lun-Development-Cairo-Egypt?o=135&l=sp&t=sj&a=python|search-v3|spbg
Devops Engineer,Techno-Ways -,7 days ago,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · CI/CD · DevOps · Information Technology (IT) · Software Development · Kubernetes · Development · JavaScript · Computer Science,https://wuzzuf.net/jobs/p/R25kqJhIDXTV-DevOps-Engineer-Cairo-Egypt?o=96&l=sp&t=sj&a=python|search-v3|spbg
Odoo Developer,Smart Technologies -,8 days ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · CSS · Git · HTML · Information Technology (IT) · JavaScript · Odoo · OpenERP,https://wuzzuf.net/jobs/p/hkIJffDOOjqZ-Senior-DevOps-Engineer-EgyProTech-Cairo-Egypt?o=73&l=sp&t=sj&a=python|search-v3|spbg
Web Developer,Engosoft -,25 minutes ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Database · Laravel · MySQL · PHP · Python · Web Development · WordPress,https://wuzzuf.net/jobs/p/XMZnhF7FzmZ8-Senior-Full-Stack-Developer-Full-Time-Office-Based-Affsquare-Cairo-Egypt?o=189&l=sp&t=sj&a=python|search-v3|spbg
Senior GIS Engineer,Interact Technology Solutions -,4 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · GIS · Information Technology (IT) · Communication skills · Engineering · Computer Science · ArcGIS · Computer Engineering · Urban Planning,https://wuzzuf.net/jobs/p/TdUcXA136mYj-SME-Sekem-Cairo-Egypt?o=152&l=sp&t=sj&a=python|search-v3|spbg
Senior IT Infrastructure Developer,Quality unit -,6 days ago,"New Cairo, Cairo, Egypt ",Full TimeWork From HomeEntry Level · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · Software Development · Software Engineering · Git · Github · Development · Computer Science · Programming,https://wuzzuf.net/jobs/p/3IR8A8mn5k5O-Senior-DevOps-Engineer-ExaServe-LLC-Cairo-Egypt?o=37&l=sp&t=sj&a=python|search-v3|spbg
IT Infrastructure Developer,Quality unit -,16 days ago,"New Cairo, Cairo, Egypt ",Full TimeWork From HomeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · Software Development · Software Engineering · Git · Github · Development · Computer Science · Programming,https://wuzzuf.net/jobs/p/Iet0uNlLEwyx-Python-Developer-Odoo-Framework-VA-Salmiya-Kuwait?o=15&l=sp&t=sj&a=python|search-v3|spbg
Junior Infrastructure Developer,Quality unit -,11 days ago,"New Cairo, Cairo, Egypt ",Full TimeWork From HomeEntry Level · 0 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · Software Development · Software Engineering · Git · Github · Development · Computer Science · Programming,https://wuzzuf.net/jobs/p/FGJalh5DLTJE-DevOps-Engineer-RemoteWFH-Deriv-com-Cairo-Egypt?o=111&l=sp&t=sj&a=python|search-v3|spbg
